Dynamic,Dynamic,Static,Static,Static,Static,Dynamic,Static,Dynamic,Static
1,2,4,5,6,7,8,9,10,11
38267,29339,72426,70603,103545,4193,559,559,6037,8293
38178,28205,62408,68160,52065,4254,710,559,6148,9495
36929,25696,57152,61887,44266,4342,726,559,6210,9526
28426,23331,56403,57355,30172,4358,820,559,6211,9683
24681,22038,34348,53716,29023,4367,881,559,6279,9865
23106,20756,33704,46044,28333,4406,1018,559,6315,10767
22712,20480,33648,34035,25222,4482,1018,141,6930,10781
22594,19237,32304,33916,24554,4610,1069,165,6967,10840
22060,19220,32110,33840,23929,4641,1139,461,7456,11705
21898,18687,31381,33792,23902,4791,1211,534,7609,11725
20170,18687,31170,33591,23849,4826,1278,849,7631,11904
19737,18453,27339,33053,21328,4840,1410,886,7753,12831
19416,16781,25860,32982,21010,4885,1512,1073,7990,12906
17932,16525,23583,32638,20759,4943,1579,1254,8086,13605
17908,16361,23377,30484,20043,4966,1584,1254,8093,13998
17862,16271,22272,30165,19703,5013,1604,1275,8146,14549
16799,16171,21486,29383,17547,5028,1626,1346,8455,15144
16211,15676,20889,28545,16100,5060,1635,1409,8548,16147
16040,14454,20777,28484,16018,5093,1658,1584,8593,16235
15806,14415,20688,26879,15926,5208,1676,1592,8709,16326
15799,14189,18750,26186,15698,5240,1750,1668,8758,16420
15722,13827,18716,25833,15512,5284,1840,1773,8766,17267
14460,13823,18358,25283,14927,5290,1998,1909,9139,18358
14381,13757,17267,25170,13608,5356,2035,1991,9265,18716
13736,13423,16420,25136,12848,5660,2052,2568,9278,18750
13552,13283,16326,25070,11493,5703,2214,2713,9647,20688
13552,13125,16235,24680,10752,5721,2278,2725,9656,20777
13481,12593,16147,24481,10541,5766,2449,2897,9702,20889
13436,12374,15144,24053,10393,5785,2449,2963,9936,21486
13356,12356,14549,23809,10020,5951,2515,3026,10268,22272
13233,12328,13998,23715,9898,5960,2515,3121,10384,23377
12678,12162,13605,23333,9870,5980,2515,3196,10640,23583
12653,11649,12906,23283,8285,6037,2587,3413,10725,25860
12230,11442,12831,23259,7887,6148,2634,3463,10806,27339
12030,11431,11904,23147,6983,6210,2651,3954,10921,31170
11945,11370,11725,23001,4630,6211,2703,3954,10928,31381
11719,11243,11705,22853,3981,6279,2790,4002,11719,32110
10928,11136,10840,22536,3410,6315,2813,4042,11945,32304
10921,11092,10781,21909,2332,6930,2849,4319,12030,33648
10806,11007,10767,21812,1965,6967,2854,4638,12230,33704
10725,10868,9865,21745,1163,7456,2863,5186,12653,34348
10640,10564,9683,21286,695,7609,2882,6368,12678,56403
10384,10559,9526,20939,595,7631,2893,6483,14003,57152
