intExpID,Column,total_users,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,Seg_Dur,Codec,Width,Height,Resolutions,FPS,Play_Pos,RTT,Protocol,Clae,Duanmu,Yin,Yu,P1203,log_Clae,log_Duanmu,log_Yin,log_Yu,log_P1203,intUser,port,rtt_qos,tp_qos,p_qos
54,1,2,60,90221,734,0,4375,6652,2441,610383,30704,exponential,2000,h264,1920,1080,1920x1080,24,118000,22.832,HTTP/1.1,5.115,77.348,252609.849,4.32,4.882,0.708845638,1.888449089,5.402450279,0.6354837468,0.6885977751,2,38360,11.244,899614.2864,194
54,1,2,59,88446,700,0,4375,15184,5314,1328639,30479,exponential,2000,h264,1920,1080,1920x1080,24,116000,27.476,HTTP/1.1,5.108,77.342,248234.83,4.319,4.881,0.7082508886,1.888415398,5.394862718,0.635383204,0.6885088077,2,38354,8.178,2034351.788,313
54,1,2,57,83728,2501,0,4375,6892,8619,2154759,31196,exponential,2000,h264,1920,1080,1920x1080,24,112000,14.506,HTTP/1.1,5.094,77.328,239484.792,4.317,4.88,0.7070589406,1.888336778,5.37927794,0.6351820487,0.688419822,2,38336,0.135,877773.5099,596
54,1,2,58,86668,1913,0,4375,7596,7266,1816520,30256,exponential,2000,h264,1920,1080,1920x1080,24,114000,42.454,HTTP/1.1,5.101,77.335,243859.811,4.318,4.88,0.7076553235,1.88837609,5.387140233,0.635282638,0.688419822,2,38346,13.029,985372.9946,468
54,1,2,56,80420,483,0,4375,39555,9552,2388192,32504,exponential,2000,h264,1920,1080,1920x1080,24,110000,14.377,HTTP/1.1,5.087,77.321,235109.773,4.316,4.879,0.7064617376,1.888297462,5.371270682,0.635081436,0.6883308181,2,38330,0.043,5414241.866,259
54,1,2,55,79005,1648,0,4375,9222,7599,1899904,31919,exponential,2000,h264,1920,1080,1920x1080,24,108000,14.285,HTTP/1.1,5.079,77.313,230734.754,4.315,4.878,0.7057782128,1.888252526,5.363113014,0.6349808001,0.688241796,2,38322,7.686,1180873.265,377
54,1,2,51,71857,482,0,4375,8759,2111,527767,31044,exponential,2000,h264,1920,1080,1920x1080,24,100000,24.821,HTTP/1.1,4.926,77.565,211718.379,4.3,4.877,0.6924944075,1.889665797,5.32575856,0.6334684556,0.6881527556,1,48702,8.216,1203856.975,96
54,1,2,53,75052,946,0,4375,10149,4800,1200140,31850,exponential,2000,h264,1920,1080,1920x1080,24,104000,22.296,HTTP/1.1,4.945,77.585,220468.417,4.303,4.877,0.6941662959,1.889777764,5.343346384,0.6337713461,0.6881527556,1,48718,9.821,1327158.023,179
54,1,2,54,76406,351,0,4375,35809,6284,1571135,32496,exponential,2000,h264,1920,1080,1920x1080,24,106000,12.21,HTTP/1.1,4.954,77.594,224843.436,4.305,4.877,0.6949560022,1.88982814,5.351880213,0.6339731558,0.6881527556,1,48722,2.553,4960160.482,203
54,1,2,51,71895,639,0,4375,6607,2111,527767,31027,exponential,2000,h264,1920,1080,1920x1080,24,100000,9.354,HTTP/1.1,5.047,77.281,213234.678,4.31,4.877,0.7030333047,1.888072733,5.328857835,0.6344772702,0.6881527556,2,38290,9.502,869418.4501,156
